trial_index,leftP,rightP,responses,left_response_proportion,right_response_proportion,perceived_left,perceived_right,prpd,chosen_high_reward_side,high_reward_proportion,reward_proportion
95,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.9,0.2,0.7,True,0.7619047619047619,0.7142857142857143
96,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.9,0.2,0.7,True,0.7619047619047619,0.7142857142857143
97,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.9,0.2,0.7,True,0.7142857142857143,0.6666666666666666
98,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.9,0.2,0.7,True,0.6666666666666666,0.6666666666666666
99,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.9,0.2,0.7,True,0.7142857142857143,0.6666666666666666
100,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.8,0.2,0.6000000000000001,True,0.6666666666666666,0.6666666666666666
101,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.8,0.2,0.6000000000000001,True,0.6190476190476191,0.6666666666666666
102,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.8,0.2,0.6000000000000001,True,0.6190476190476191,0.6190476190476191
103,0.2,0.75,-1.0,0.8571428571428571,0.14285714285714285,0.8,0.2,0.6000000000000001,False,0.6190476190476191,0.6190476190476191
104,0.2,0.75,-1.0,0.8571428571428571,0.14285714285714285,0.7,0.2,0.49999999999999994,False,0.5714285714285714,0.5714285714285714
105,0.2,0.75,-1.0,0.8095238095238095,0.19047619047619047,0.6,0.2,0.39999999999999997,False,0.5714285714285714,0.5714285714285714
106,0.2,0.75,-1.0,0.7619047619047619,0.23809523809523808,0.6,0.2,0.39999999999999997,False,0.5714285714285714,0.6190476190476191
107,0.2,0.75,-1.0,0.7619047619047619,0.23809523809523808,0.5,0.2,0.3,False,0.5238095238095238,0.5714285714285714
108,0.2,0.75,-1.0,0.7142857142857143,0.2857142857142857,0.4,0.2,0.2,False,0.5238095238095238,0.5714285714285714
109,0.2,0.75,1.0,0.6666666666666666,0.3333333333333333,0.4,0.2,0.2,True,0.5238095238095238,0.5714285714285714
110,0.2,0.75,-1.0,0.6190476190476191,0.38095238095238093,0.4,0.3,0.10000000000000003,False,0.5238095238095238,0.6190476190476191
111,0.2,0.75,-1.0,0.5714285714285714,0.42857142857142855,0.5,0.3,0.2,False,0.5238095238095238,0.6190476190476191
112,0.2,0.75,1.0,0.5238095238095238,0.47619047619047616,0.5,0.3,0.2,True,0.5238095238095238,0.6190476190476191
113,0.2,0.75,1.0,0.47619047619047616,0.5238095238095238,0.5,0.4,0.09999999999999998,True,0.5238095238095238,0.6190476190476191
114,0.2,0.75,-1.0,0.47619047619047616,0.5238095238095238,0.5,0.5,0.0,False,0.5238095238095238,0.6190476190476191
115,0.2,0.75,1.0,0.42857142857142855,0.5714285714285714,0.4,0.5,-0.09999999999999998,True,0.5714285714285714,0.6666666666666666
116,0.2,0.75,1.0,0.38095238095238093,0.6190476190476191,0.4,0.6,-0.19999999999999996,True,0.6190476190476191,0.7142857142857143
