trial_index,leftP,rightP,responses,left_response_proportion,right_response_proportion,perceived_left,perceived_right,prpd,relative_values,chosen_high_reward_side,high_reward_proportion,reward_proportion
89,0.2,0.75,-1.0,0.6190476190476191,0.38095238095238093,0.2,0.5,0.3,0.39379990910521856,False,0.38095238095238093,0.3333333333333333
90,0.2,0.75,1.0,0.5714285714285714,0.42857142857142855,0.2,0.5,0.3,0.4256701859436978,True,0.42857142857142855,0.38095238095238093
91,0.2,0.75,1.0,0.5238095238095238,0.47619047619047616,0.2,0.4,0.2,0.27788153325040726,True,0.47619047619047616,0.38095238095238093
92,0.2,0.75,-1.0,0.47619047619047616,0.5238095238095238,0.2,0.3333333333333333,0.1333333333333333,0.17359573617966514,False,0.5238095238095238,0.38095238095238093
93,0.2,0.75,-1.0,0.42857142857142855,0.5714285714285714,0.2,0.3333333333333333,0.1333333333333333,0.19608472408500588,False,0.5714285714285714,0.42857142857142855
94,0.2,0.75,-1.0,0.38095238095238093,0.6190476190476191,0.2,0.3333333333333333,0.1333333333333333,0.2119538857985913,False,0.6190476190476191,0.47619047619047616
95,0.2,0.75,-1.0,0.3333333333333333,0.6666666666666666,0.2,0.3333333333333333,0.1333333333333333,-0.0712067404184347,False,0.6666666666666666,0.5238095238095238
96,0.2,0.75,1.0,0.2857142857142857,0.7142857142857143,0.1,0.3333333333333333,0.2333333333333333,0.023341953028649026,True,0.7142857142857143,0.5714285714285714
97,0.2,0.75,1.0,0.23809523809523808,0.7619047619047619,0.1,0.2857142857142857,0.1857142857142857,-0.05024642654234723,True,0.7619047619047619,0.6190476190476191
98,0.2,0.75,1.0,0.23809523809523808,0.7619047619047619,0.1,0.375,0.275,0.1921851279167009,True,0.7619047619047619,0.6190476190476191
99,0.2,0.75,1.0,0.23809523809523808,0.7619047619047619,0.1,0.4444444444444444,0.34444444444444444,0.36325487807085893,True,0.7619047619047619,0.6190476190476191
100,0.2,0.75,1.0,0.19047619047619047,0.8095238095238095,0.1,0.4,0.30000000000000004,0.18961021790680793,True,0.8095238095238095,0.6190476190476191
101,0.2,0.75,1.0,0.19047619047619047,0.8095238095238095,0.1,0.5,0.4,0.3614379148746087,True,0.8095238095238095,0.6666666666666666
102,0.2,0.75,1.0,0.19047619047619047,0.8095238095238095,0.1,0.6,0.5,0.48268665766073565,True,0.8095238095238095,0.7142857142857143
103,0.2,0.75,1.0,0.14285714285714285,0.8571428571428571,0.1,0.6,0.5,0.5682447946005054,True,0.8571428571428571,0.7142857142857143
104,0.2,0.75,1.0,0.09523809523809523,0.9047619047619048,0.1,0.6,0.5,0.6286181611888637,True,0.9047619047619048,0.7142857142857143
105,0.2,0.75,1.0,0.09523809523809523,0.9047619047619048,0.1,0.7,0.6,0.671220110267982,True,0.9047619047619048,0.6666666666666666
106,0.2,0.75,1.0,0.047619047619047616,0.9523809523809523,0.1,0.8,0.7000000000000001,0.7012818107809653,True,0.9523809523809523,0.7142857142857143
107,0.2,0.75,1.0,0.047619047619047616,0.9523809523809523,0.1,0.9,0.8,0.7224945922913601,True,0.9523809523809523,0.7619047619047619
108,0.2,0.75,1.0,0.09523809523809523,0.9047619047619048,0.1,0.9,0.8,0.7374632098921312,True,0.9047619047619048,0.7142857142857143
109,0.2,0.75,1.0,0.09523809523809523,0.9047619047619048,0.1,0.9,0.8,0.7480256867067969,True,0.9047619047619048,0.6666666666666666
110,0.2,0.75,1.0,0.14285714285714285,0.8571428571428571,0.1,1.0,0.9,0.7554790080111371,True,0.8571428571428571,0.6666666666666666
111,0.2,0.75,1.0,0.19047619047619047,0.8095238095238095,0.1,0.9,0.8,0.46637981608487683,True,0.8095238095238095,0.6190476190476191
112,0.2,0.75,1.0,0.19047619047619047,0.8095238095238095,0.1,0.9,0.8,0.5567380114987339,True,0.8095238095238095,0.5714285714285714
113,0.2,0.75,1.0,0.23809523809523808,0.7619047619047619,0.1,0.9,0.8,0.6204984982403234,True,0.7619047619047619,0.5238095238095238
