,mouse,date,str_name,pfc_name,Stimulus_related_firing_P_value_str,Movement_related_firing_P_value_str,Reward_related_firing_P_value_str,BG_firing_CC_with_PPD_str,BG_firing_CC_with_PPD_P_value_str,Response_magnitude_CC_with_PPD_str,Response_magnitude_CC_with_PPD_P_value_str,Stimulus_related_firing_P_value_pfc,Movement_related_firing_P_value_pfc,Reward_related_firing_P_value_pfc,BG_firing_CC_with_PPD_pfc,BG_firing_CC_with_PPD_P_value_pfc,Response_magnitude_CC_with_PPD_pfc,Response_magnitude_CC_with_PPD_P_value_pfc,peak,peak_width,spike_count_in_peak
20,AKED02,20210801,str_79,pfc_86,0.06992243610286594,3.324447268664179e-05,1.2421796856097915e-05,-0.04706878961085452,0.3745617559013845,-0.16355337618800211,0.0019048227117475832,0.001646833530815117,0.00041448426175011134,0.24827769029282276,0.1959218919682041,0.000191277378109377,0.3041716468472861,4.232283324614153e-09,25,0.003,78.0
21,AKED02,20210801,str_85,pfc_61,0.6026496644038866,0.7691220139313559,1.901352921225048e-09,0.27470532471978865,1.2817270754539622e-07,0.4160340195529433,2.038289966081324e-16,0.02969682822093291,9.118626351572714e-06,0.15024581294249229,-0.23046817585812096,1.058568355176598e-05,-0.3175368406468072,7.902597547735015e-10,26,0.003,72.0
22,AKED02,20210803,str_17,pfc_21,0.0016383366301676093,7.362344883940679e-06,0.19127437076529374,0.44422641656051537,6.845881235027522e-19,0.5611638248199872,2.4530599664111175e-31,0.04784533413968923,0.013876208958946078,0.0010608295080622688,-0.3581560220205177,2.292178613494723e-12,-0.3977290986304919,3.9299985292248225e-15,22,0.002,65.0
23,AKED02,20210803,str_25,pfc_23,0.0003552080093764626,4.454510571966228e-05,0.8289915116842204,0.2988715503535952,6.96470123150152e-09,0.31786544807951644,6.430757918879795e-10,0.3189317446414285,0.7077302085852296,0.5386010818667006,0.1790916700436877,0.0006293956244484764,0.2580916661325281,6.653720861881075e-07,26,0.002,74.0
24,AKED02,20210804,str_14,pfc_21,2.6753404257444756e-17,2.1770962643399544e-08,9.869745877456447e-06,0.07618123672624115,0.10772998209923013,0.2602654536035032,2.35404190379758e-08,0.024879768431717332,4.926107920656049e-08,4.87037678179154e-06,0.10899573210252855,0.02117515936125468,0.1629887026789325,0.000541219726754486,26,0.003,176.0
25,AKED02,20210804,str_4,pfc_30,0.060451952034293197,8.363275235636492e-06,0.01654077321051005,0.1887638680364117,5.9219118015153344e-05,0.24005504670692995,2.800233638559757e-07,1.0,1.8202106883292133e-09,1.1288049535911648e-17,-0.07793062591607039,0.09986090001110637,-0.1336378318125965,0.0046516744346893745,23,0.0025,106.0
26,AKED02,20210804,str_5,pfc_16,1.5346602954708316e-05,0.2103840480554775,5.274121080033416e-06,0.28249141218249496,1.2011525214272917e-09,0.313284853939372,1.2323320626485669e-11,0.9478029562378443,0.09020498752550021,0.005263092898754325,-0.05864835483533285,0.21587962406354444,-0.15065573377310976,0.0014004758836930096,25,0.003,99.0
27,AKED04,20210802,str_11,pfc_51,0.26594735319328877,0.18930781728577173,0.00819888129635639,0.4918096722210186,4.693477916943815e-26,0.6146498359673765,1.9334050097210742e-43,0.023057679845688822,0.0010422943010742292,0.15430175664190038,-0.008704022210533862,0.8613727522168502,0.13007046992839605,0.008775742590663226,24,0.002,59.0
28,AKED04,20210802,str_14,pfc_18,0.03849753028460921,0.17013215465241371,0.8306844667059602,-0.16143625621161994,0.001113296590419372,-0.1880871987119938,0.00014036838090886005,0.07285152640502127,0.0003778623179229457,0.18132199595475007,-0.1322710949063292,0.00768973285717712,-0.1774238906686681,0.00033315037429093597,24,0.0015,32.0
29,AKED04,20210802,str_19,pfc_22,0.49454729656794805,0.0015621654898891483,1.1476867646392006e-06,-0.09101634018999649,0.06727885310565636,-0.14187028921607694,0.0042264943779019605,0.8721820832983435,0.6633675441785114,0.21875754925564717,-0.424162407631205,4.0683972461795762e-19,-0.45006025804440136,1.362718135368821e-21,23,0.002,64.0
