session,cell,background_firing_pearson_r,background_firing_p_values,response_firing_pearson_r,response_firing_p_values
AKED0620210804,pfc_69,-0.0018404495688413534,0.9726705275241817,-0.16734970366908417,0.0017051878548298629
AKED0620210804,pfc_6,0.0001325125400566115,0.9980318941722306,0.08827041433240419,0.09969657603330695
AKED0620210804,pfc_43,0.006157446488684517,0.9087471203425301,-0.05795738128198123,0.2802505412577644
AKED0620210804,pfc_83,-0.07409750717884754,0.1672208940463363,0.07514519520720307,0.16128197539838493
AKED0620210804,pfc_42,-0.05290739455638575,0.32436077439743816,-0.024753519423647702,0.6449094478034834
AKED0620210804,pfc_53,0.08011181978653723,0.13526851471912327,0.0972763250954508,0.06951485952645757
AKED0620210804,pfc_36,0.13501630500204165,0.011575267086435108,-0.013799240033759989,0.7972725960616782
AKED0620210804,pfc_60,-0.033578794106905424,0.531820454628014,0.1472624466658452,0.005846609762441478
AKED0620210804,pfc_2,0.0021411192200908574,0.9682079679314155,0.015890936538689754,0.7673669071144962
AKED0620210804,pfc_40,0.017395314325388687,0.7460667916973673,0.16196892527107032,0.0024050508258384447
AKED0620210804,pfc_85,-0.006876972277124526,0.8981386432383218,-0.000894075299926719,0.9867215909688117
AKED0620210804,pfc_56,0.09593531767450017,0.07346670414386361,0.18565101182226854,0.0004900111183582032
AKED0620210804,pfc_51,-0.13269388185259204,0.013100944322210534,-0.2393358906321164,6.15489774629023e-06
AKED0620210804,pfc_16,0.10148102171294131,0.05823662586774768,0.15737755305347048,0.003199417279379396
AKED0620210804,pfc_29,0.12135502182154925,0.02336876157838706,0.044941036451408935,0.4026044898674179
AKED0620210804,pfc_59,0.20054206815493625,0.00016234938067002228,0.3092175419896179,3.6090869211037252e-09
AKED0620210804,pfc_19,-0.2328205046299736,1.110913731423831e-05,-0.2832436345132104,7.322242749137862e-08
AKED0620210804,pfc_77,0.09392985038078315,0.07971619505109755,0.15681700284141004,0.0033111900451693347
AKED0620210804,dms_56,-0.09922062152506292,0.06409543694688531,-0.11984105162901992,0.025165150679858028
AKED0620210804,dms_55,0.10411089441392725,0.051984976600159855,0.1450187448694848,0.006651340060479368
AKED0620210804,dms_60,0.02020571672619273,0.7067993417057854,-0.029014805138039442,0.5890519235586441
AKED0620210804,dms_11,-0.0096118365044882,0.8579974890486649,0.08089716879886616,0.13146879188329066
AKED0620210804,dms_0,-0.014859725576224522,0.7820704190301212,-0.042505638206960114,0.4286056844223651
AKED0620210804,dms_16,0.05736496109290346,0.28520420173273736,-0.011107602925467515,0.8361902063924296
AKED0620210804,dms_6,0.04927952850913402,0.3586855872986363,0.05058953950426683,0.3460372724623425
AKED0620210804,dms_22,-0.11165590600890621,0.037074316673207576,-0.0781160547262521,0.14530444579566967
AKED0620210804,dms_86,0.0402672835931384,0.45333881970985124,-0.0008221634290374104,0.9877895074689889
AKED0620210804,dms_91,0.10567222597123231,0.048545272858167766,0.26324285149143206,6.088295396125773e-07
AKED0620210804,dms_49,-0.11997723421673888,0.0249988321532098,-0.03977079645519797,0.4589315467315357
AKED0620210804,dms_74,-0.11017322652305882,0.03967778091296227,-0.1155200385203466,0.030960641361842928
AKED0620210804,dms_42,0.10630305508792896,0.04721055084213941,0.1584985308367003,0.0029861040741021865
AKED0620210804,dms_32,-0.06179710274455843,0.2495577649151799,-0.05994584939540676,0.2640508179530411
AKED0620210804,dms_78,-0.03874455253374096,0.47061288871175316,-0.07619400788793561,0.155496963414845
